abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
ARTHROPOD SYST PHYLOGENY	Arthropod systematics & phylogeny	1863-7221	1864-8312	SENCKENBERG NATURHISTORISCHE SAMMLUNGEN DRESDEN, MUSEUM TIERKUNDE	ARTHROPOD SYSTEMATICS & PHYLOGENY	2.354	2.8	1.8	1.5	1.8	Q2	Q1	Q2	Q2	Q2
J GASTROINTEST CANCER	Journal of gastrointestinal cancer	1941-6628	1941-6636	SPRINGER	JOURNAL OF GASTROINTESTINAL CANCER			1.6	1.6	1.6				Q4	Q4
BIOCHEM MOL BIOL EDUC	Biochemistry and molecular biology education : a bimonthly publication of the International Union of Biochemistry and Molecular Biology	1470-8175	1539-3429	WILEY	BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION	1.16	1.369	1.4	1.2	0.9	Q4	Q4	Q4	Q3	Q3
NAT GEOSCI	Nature geoscience	1752-0894	1752-0908	NATURE PORTFOLIO	NATURE GEOSCIENCE	16.908	21.531	18.3	15.7	16.1	Q1	Q1	Q1	Q1	Q1
DIS MODEL MECH	Disease models & mechanisms	1754-8403	1754-8411	COMPANY BIOLOGISTS LTD	DISEASE MODELS & MECHANISMS	5.758	5.732	4.3	4.0	3.3	Q1	Q1	Q2	Q1	Q1
PEDIATR NEONATOL	Pediatrics and neonatology	1875-9572	2212-1692	ELSEVIER TAIWAN	PEDIATRICS AND NEONATOLOGY	2.083	2.586	2.1	2.3	2.1	Q3	Q3	Q3	Q2	Q2
INT J MORPHOL	International journal of morphology = Revista internacional de morfologia	0717-9367	0717-9502		INTERNATIONAL JOURNAL OF MORPHOLOGY	0.519	0.504	0.5	0.4	0.5	Q4	Q4	Q4	Q4	Q4
SOC POLICY ADM	Social policy & administration	0144-5596		WILEY	SOCIAL POLICY & ADMINISTRATION	2.738	2.283	3.2	2.6	2.2	Q1	Q2	Q1	Q1	Q1
TECH ORTHOP	Techniques in orthopaedics (Rockville, Md.)	0885-9698	2333-0600	LIPPINCOTT WILLIAMS & WILKINS	TECHNIQUES IN ORTHOPAEDICS			0.3	0.2	0.2				Q4	Q4
NEW J CHEM	New journal of chemistry = Nouveau journal de chimie	1144-0546	1369-9261	ROYAL SOC CHEMISTRY	NEW JOURNAL OF CHEMISTRY	3.591	3.925	3.3	2.7	2.5	Q2	Q2	Q2	Q2	Q3
AGGRESS VIOLENT BEHAV	Aggression and violent behavior	1359-1789		PERGAMON-ELSEVIER SCIENCE LTD	AGGRESSION AND VIOLENT BEHAVIOR	4.382	4.874	4.6	3.4	3.4	Q1	Q1	Q1	Q1	Q1
BULL NEW SER AM MATH SOC	Bulletin (new series) of the American Mathematical Society	0273-0979		AMER MATHEMATICAL SOC	BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY	2.731	2.296	1.3	2.0	1.6	Q1	Q1	Q2	Q1	Q1
BR J IND RELAT	British journal of industrial relations	0007-1080		WILEY	BRITISH JOURNAL OF INDUSTRIAL RELATIONS	3.323	2.432	2.6	1.3	2.2	Q2	Q3	Q2	Q3	Q2
APPL ENERGY	Applied energy	0306-2619		ELSEVIER SCI LTD	APPLIED ENERGY	9.746	11.446	11.2	10.1	11.0	Q1	Q1	Q1	Q1	Q1
INT J EARLY CHILD	International journal of early childhood = Revue internationale de l'enfance prescolaire = Revista internacional de la infancia pre-escolar	0020-7187		SPRINGER	INTERNATIONAL JOURNAL OF EARLY CHILDHOOD			4.4	1.3	1.8				Q2	Q2
IDS BULL	IDS bulletin (University of Sussex. Institute of Development Studies : 1985)	0265-5012		INST DEVELOPMENT STUDIES	IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES	0.855	0.862	0.7	1.0	0.6	Q3	Q3	Q3	Q2	Q2
ECONOM REV	Econometric reviews	0747-4938		TAYLOR & FRANCIS INC	ECONOMETRIC REVIEWS	1.718	1.605	1.2	0.8	1.0	Q2	Q2	Q3	Q3	Q3
EMI EDUC MEDIA INT	Educational media international	0952-3987		ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	EDUCATIONAL MEDIA INTERNATIONAL			1.8	1.4	1.1				Q2	Q3
ELECT STUD	Electoral studies	0261-3794		ELSEVIER SCI LTD	ELECTORAL STUDIES	2.07	2.08	2.3	2.9	2.3	Q3	Q2	Q2	Q1	Q1
ECON DEV CULT CHANGE	Economic development and cultural change	0013-0079		UNIV CHICAGO PRESS	ECONOMIC DEVELOPMENT AND CULTURAL CHANGE	1.741	1.507	2.0	2.0	1.8	Q1	Q2	Q1	Q1	Q1
SCAND STAT THEORY APPL	Scandinavian journal of statistics, theory and applications	0303-6898	1467-9469	WILEY	SCANDINAVIAN JOURNAL OF STATISTICS	1.396	1.04	1.0	0.8	1.0	Q3	Q4	Q3	Q3	Q3
PSYCHOLOGIA	Psychologia : an international journal of psychology in the Orient	0033-2852	1347-5916	Psychologia Editorial Office	PSYCHOLOGIA	0.188	0.273	0.5	0.5	0.5	Q4	Q4	Q4	Q4	Q4
OMEGA	Omega	0305-0483		PERGAMON-ELSEVIER SCIENCE LTD	OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE	7.084	8.673	6.9	6.7	7.2	Q1	Q1	Q1	Q1	Q1
APEIRON	Apeiron (Clayton, Vic.)	0003-6390		WALTER DE GRUYTER GMBH	APEIRON-A JOURNAL FOR ANCIENT PHILOSOPHY AND SCIENCE			0.3	0.4	0.3					
OZS OSTERR Z SOZIOL	OZS, Osterreichische Zeitschrift fur Soziologie	1011-0070		SPRINGER VIEWEG-SPRINGER FACHMEDIEN WIESBADEN GMBH	OSTERREICHISCHE ZEITSCHRIFT FUER SOZIOLOGIE			0.7	0.4	0.1				Q4	Q4
TEACH COLL REC (1970)	Teachers College record (1970)	0161-4681	1467-9620	SAGE PUBLICATIONS INC	TEACHERS COLLEGE RECORD	1.519	1.134	1.0	1.3	1.9	Q4	Q4	Q4	Q2	Q2
PUBLIC HEALTH GENOMICS	Public health genomics	1662-4246	1662-8063	KARGER	PUBLIC HEALTH GENOMICS	2.0	2.132	1.7	1.3	1.5	Q3	Q4	Q4	Q4	Q3
FOOD ADDIT CONTAM PART B SURVEILL	Food additives & contaminants. Part B, Surveillance	1939-3210	1939-3229	TAYLOR & FRANCIS LTD	FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE	3.407	3.964	2.9	2.5	2.5	Q2	Q2	Q2	Q2	Q2
FOOD ADDIT CONTAM PART A CHEM ANAL CONTROL EXPO RISK ASSESS	Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment	1944-0049	1944-0057	TAYLOR & FRANCIS LTD	FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT	3.057	3.549	2.9	2.3	2.2	Q2	Q2	Q2	Q2	Q3
EUR J FOR RES	European journal of forest research	1612-4669	1612-4677	SPRINGER	EUROPEAN JOURNAL OF FOREST RESEARCH	2.617	3.14	2.8	2.6	2.7	Q1	Q1	Q2	Q1	Q1
ENDANGER SPECIES RES	Endangered species research	1863-5407		INTER-RESEARCH	ENDANGERED SPECIES RESEARCH	2.029	3.161	3.1	2.6	2.9	Q3	Q2	Q2	Q2	Q1
WILSON J ORNITHOL	The Wilson journal of ornithology	1559-4491		TAYLOR & FRANCIS LTD	WILSON JOURNAL OF ORNITHOLOGY	0.656	0.458	0.3	0.4	0.5	Q4	Q4	Q4	Q4	Q4
POPUL HEALTH MANAG	Population health management	1942-7891	1942-7905	MARY ANN LIEBERT, INC	POPULATION HEALTH MANAGEMENT	2.459	2.29	2.5	1.8	2.1	Q3	Q3	Q3	Q3	Q3
LIMNOL OCEANOGR METHODS	Limnology and oceanography, methods		1541-5856	WILEY	LIMNOLOGY AND OCEANOGRAPHY-METHODS	2.634	3.162	2.7	2.1	1.9	Q1	Q1	Q2	Q2	Q2
QUAT SCI REV	Quaternary science reviews	0277-3791	1873-457X	PERGAMON-ELSEVIER SCIENCE LTD	QUATERNARY SCIENCE REVIEWS	4.112	4.456	4.0	3.2	3.3	Q1	Q1	Q1	Q1	Q2
Z EVID FORTBILD QUAL GESUNDHWES	Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen	1865-9217	2212-0289	ELSEVIER GMBH	ZEITSCHRIFT FUR EVIDENZ FORTBILDUNG UND QUALITAET IM GESUNDHEITSWESEN			1.1	1.4	1.7				Q4	Q3
AESTHET SURG J	Aesthetic surgery journal	1090-820X	1527-330X	OXFORD UNIV PRESS INC	AESTHETIC SURGERY JOURNAL	4.283	4.485	2.9	3.0	3.9	Q1	Q1	Q2	Q1	Q1
ANAT SCI EDUC	Anatomical sciences education	1935-9772	1935-9780	WILEY	ANATOMICAL SCIENCES EDUCATION	5.958	6.652	7.3	5.2	4.7	Q1	Q1	Q1	Q1	Q1
AUST OCCUP THER J	Australian occupational therapy journal	0045-0766	1440-1630	WILEY	AUSTRALIAN OCCUPATIONAL THERAPY JOURNAL	1.856	1.757	1.8	1.6	1.8	Q3	Q3	Q3	Q2	Q2
EXPERT REV GASTROENTEROL HEPATOL	Expert review of gastroenterology & hepatology	1747-4124	1747-4132	TAYLOR & FRANCIS LTD	EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY	3.869	4.095	3.9	3.8	2.5	Q3	Q2	Q2	Q2	Q2
FOOT ANKLE SURG	Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons	1268-7731	1460-9584	ELSEVIER	FOOT AND ANKLE SURGERY	2.705	2.84	2.5	1.9	2.0	Q2	Q2	Q2	Q2	Q2
FORENSIC SCI MED PATHOL	Forensic science, medicine, and pathology	1547-769X	1556-2891	HUMANA PRESS INC	FORENSIC SCIENCE MEDICINE AND PATHOLOGY	2.007	2.456	1.8	1.5	1.4	Q2	Q2	Q2	Q2	Q3
INT J SPORTS PHYSIOL PERFORM	International journal of sports physiology and performance	1555-0265	1555-0273	HUMAN KINETICS PUBL INC	INTERNATIONAL JOURNAL OF SPORTS PHYSIOLOGY AND PERFORMANCE	4.01	4.211	3.3	3.5	4.3	Q1	Q1	Q2	Q1	Q1
J APPL ORAL SCI	Journal of applied oral science : revista FOB	1678-7757	1678-7765	UNIV SAO PAULO FAC ODONTOLOGIA BAURU	JOURNAL OF APPLIED ORAL SCIENCE	2.698	3.144	2.7	2.2	2.6	Q2	Q2	Q2	Q2	Q2
J BIOL DYN	Journal of biological dynamics	1751-3758	1751-3766	TAYLOR & FRANCIS LTD	JOURNAL OF BIOLOGICAL DYNAMICS	2.179	2.726	2.8	1.8	2.2	Q3	Q2	Q2	Q3	Q2
J BODYW MOV THER	Journal of bodywork and movement therapies	1360-8592	1532-9283	ELSEVIER	JOURNAL OF BODYWORK AND MOVEMENT THERAPIES			1.4	1.2	1.4				Q3	Q3
J CARDIOVASC COMPUT TOMOGR	Journal of cardiovascular computed tomography	1934-5925	1876-861X	ELSEVIER SCIENCE INC	JOURNAL OF CARDIOVASCULAR COMPUTED TOMOGRAPHY	4.309	5.17	5.4	5.5	5.8	Q1	Q1	Q1	Q1	Q1
MUCOSAL IMMUNOL	Mucosal immunology	1933-0219	1935-3456	ELSEVIER SCIENCE INC	MUCOSAL IMMUNOLOGY	7.313	9.02	8.0	7.9	7.6	Q1	Q1	Q1	Q1	Q1
PRION	Prion	1933-6896	1933-690X	TAYLOR & FRANCIS INC	PRION	3.931	2.547	2.3	1.9	1.6	Q2	Q4	Q4	Q4	Q4
RECENT PAT INFLAMM ALLERGY DRUG DISCOV	Recent patents on inflammation & allergy drug discovery	1872-213X			RECENT PATENTS ON INFLAMMATION & ALLERGY DRUG DISCOVERY			4.2							
RECENT PAT NANOTECHNOL	Recent patents on nanotechnology	1872-2105	2212-4020	BENTHAM SCIENCE PUBL LTD	RECENT PATENTS ON NANOTECHNOLOGY	1.952	2.321	2.0	2.0	3.1	Q3	Q3	Q3	Q3	Q2
REV BRAS GINECOL OBSTET	Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia	0100-7203	1806-9339	FEDERACAO BRASILEIRA SOC GINECOLOGIA & OBSTETRICIA-FEBRASGO	REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRICIA			1.2	1.0	1.4				Q4	Q3
SIMUL HEALTHC	Simulation in healthcare : journal of the Society for Simulation in Healthcare	1559-2332	1559-713X	LIPPINCOTT WILLIAMS & WILKINS	SIMULATION IN HEALTHCARE-JOURNAL OF THE SOCIETY FOR SIMULATION IN HEALTHCARE	1.929	2.69	2.4	1.7	2.1	Q4	Q3	Q3	Q3	Q3
THER ADV CARDIOVASC DIS	Therapeutic advances in cardiovascular disease	1753-9447	1753-9455	SAGE PUBLICATIONS LTD	THERAPEUTIC ADVANCES IN CARDIOVASCULAR DISEASE			2.3	2.6	2.2				Q2	Q2
THER ADV RESPIR DIS	Therapeutic advances in respiratory disease	1753-4658	1753-4666	SAGE PUBLICATIONS LTD	THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE	4.031	5.158	4.3	3.3	3.0	Q2	Q2	Q2	Q2	Q2
VET COMP ONCOL	Veterinary and comparative oncology	1476-5810	1476-5829	WILEY	VETERINARY AND COMPARATIVE ONCOLOGY	2.613	2.385	2.1	2.3	1.9	Q1	Q2	Q2	Q1	Q2
WOMENS HEALTH (LOND)	Women's health (London, England)	1745-5057	1745-5065	SAGE PUBLICATIONS LTD	WOMENS HEALTH			2.4	2.7	2.9				Q2	Q1
PUBLIC HEALTH ETHICS	Public health ethics	1754-9973	1754-9981	OXFORD UNIV PRESS	PUBLIC HEALTH ETHICS	1.94	2.706	2.1	1.4	2.0	Q2	Q1	Q2	Q2	Q2
MICROB BIOTECHNOL	Microbial biotechnology		1751-7915	WILEY	MICROBIAL BIOTECHNOLOGY	5.813	6.575	5.7	4.8	5.2	Q1	Q1	Q1	Q1	Q1
TROP J PHARM RES	Tropical journal of pharmaceutical research : TJPR		1596-5996		TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH	0.533	0.523	0.6	0.6		Q4	Q4	Q4	Q4	
DIABETOL METAB SYNDR	Diabetology & metabolic syndrome		1758-5996	BMC	DIABETOLOGY & METABOLIC SYNDROME	3.32	5.395	4.8	3.4	3.9	Q3	Q2	Q2	Q2	Q2
DRUG TARGET INSIGHTS	Drug target insights		1177-3928	ABOUTSCIENCE SRL	DRUG TARGET INSIGHTS			2.7	2.0	2.5				Q3	Q3
FOOD NUTR RES	Food & nutrition research		1654-661X	SWEDISH NUTRITION FOUNDATION-SNF	FOOD & NUTRITION RESEARCH	3.894	3.221	3.3	3.5	3.4	Q2	Q2	Q2	Q2	Q2
J KOREAN NEUROSURG SOC	Journal of Korean Neurosurgical Society	2005-3711	1598-7876	KOREAN NEUROSURGICAL SOC	JOURNAL OF KOREAN NEUROSURGICAL SOCIETY	1.729	2.249	1.6	1.4	1.7	Q3	Q3	Q3	Q3	Q2
J EDUC EVAL HEALTH PROF	Journal of educational evaluation for health professions		1975-5937	KOREA HEALTH PERSONNEL LICENSING EXAMINATION INST	JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS			4.4	9.3	3.7				Q1	Q1
EUROINTERVENTION	EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology	1774-024X	1969-6213	EUROPA EDITION	EUROINTERVENTION	6.534	7.728	6.2	7.6	9.5	Q1	Q1	Q1	Q1	Q1
DTSCH ARZTEBL INT	Deutsches Arzteblatt international		1866-0452	DEUTSCHER AERZTE-VERLAG GMBH	DEUTSCHES ARZTEBLATT INTERNATIONAL	5.594	8.251	7.7	6.5	7.1	Q1	Q1	Q1	Q1	Q1
MOL SIMUL	Molecular simulation	0892-7022	1029-0435	TAYLOR & FRANCIS LTD	MOLECULAR SIMULATION	2.178	2.346	2.1	1.9	2.0	Q3	Q3	Q3	Q3	Q3
INSECT CONSERV DIVERS	Insect conservation and diversity	1752-458X		WILEY	INSECT CONSERVATION AND DIVERSITY	3.182	4.266	3.5	3.2	3.2	Q1	Q1	Q1	Q1	Q1
TROP PLANT BIOL	Tropical plant biology	1935-9756	1935-9764	SPRINGER	TROPICAL PLANT BIOLOGY	1.512	1.508	2.0	1.8	1.4	Q3	Q3	Q3	Q2	Q3
DREAMING	Dreaming : journal of the Association for the Study of Dreams	1053-0797	1573-3351	EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC	DREAMING	0.76	2.212	1.8	0.8	1.1	Q4	Q3	Q3	Q3	Q3
SURF SCI	Surface science	0039-6028		ELSEVIER	SURFACE SCIENCE	1.942	2.07	1.9	2.1	1.8	Q3	Q3	Q3	Q3	Q3
AM J MENS HEALTH	American journal of men's health	1557-9883	1557-9891	SAGE PUBLICATIONS INC	AMERICAN JOURNAL OF MENS HEALTH	2.804	2.403	2.3	2.1	2.4	Q2	Q3	Q3	Q3	Q2
OBES RES CLIN PRACT	Obesity research & clinical practice	1871-403X		ELSEVIER SCI LTD	OBESITY RESEARCH & CLINICAL PRACTICE	2.288	5.214	4.3	2.5	2.3	Q4	Q2	Q2	Q3	Q3
INT J COGN THER	International journal of cognitive therapy	1937-1209	1937-1217	SPRINGER INT PUBL AG	INTERNATIONAL JOURNAL OF COGNITIVE THERAPY	1.22	2.069	2.6	1.5	1.4	Q4	Q3	Q3	Q3	Q3
CLIN OPHTHALMOL	Clinical ophthalmology (Auckland, N.Z.)	1177-5467	1177-5483	DOVE MEDICAL PRESS LTD	CLINICAL OPHTHALMOLOGY			2.2	1.8	2.2				Q3	Q2
AUTISM RES	Autism research : official journal of the International Society for Autism Research	1939-3792	1939-3806	WILEY	AUTISM RESEARCH	5.216	4.633	4.7	5.3	5.6	Q1	Q1	Q1	Q1	Q1
J KOREAN ACAD NURS	Journal of Korean Academy of Nursing	2005-3673	2093-758X		JOURNAL OF KOREAN ACADEMY OF NURSING	0.984	1.277	1.5	1.0	0.8	Q4	Q4	Q3	Q3	Q4
MATCH (MULH)	Match (Mulheim an der Ruhr, Germany)	0340-6253		UNIV KRAGUJEVAC, FAC SCIENCE	MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY	2.497	2.633	2.6	2.9	2.4	Q2	Q2	Q2	Q1	Q2
IEEE TRANS HAPTICS	IEEE transactions on haptics	1939-1412	2329-4051	IEEE COMPUTER SOC	IEEE TRANSACTIONS ON HAPTICS	2.487	3.105	2.9	2.4	2.8	Q2	Q2	Q3	Q2	Q2
BIOENERGY RES	Bioenergy research	1939-1234		SPRINGER	BIOENERGY RESEARCH	2.814	3.852	3.6	3.1	3.0	Q3	Q2	Q2	Q2	Q3
NONLINEAR ANAL THEORY METHODS APPL	Nonlinear analysis, theory, methods & applications	0362-546X		PERGAMON-ELSEVIER SCIENCE LTD	NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS	2.064	1.743	1.4	1.3	1.3	Q1	Q1	Q1	Q1	Q1
INT J INF COMMUN TECHNOL EDUC	International journal of information and communication technology education : an official publication of the Information Resources Management Association	1550-1876		IGI GLOBAL	INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION			2.0	1.5	1.5				Q2	Q2
XIN LI XUE BAO	Xin li xue bao. Acta psychologica Sinica	0439-755X		SCIENCE PRESS	ACTA PSYCHOLOGICA SINICA			1.5	1.3	1.5				Q3	Q3
NEW IDEAS PSYCHOL	New ideas in psychology	0732-118X		PERGAMON-ELSEVIER SCIENCE LTD	NEW IDEAS IN PSYCHOLOGY	2.621	2.927	2.6	2.3	2.9	Q2	Q2	Q2	Q2	Q1
CURR OPIN COLLOID INTERFACE SCI	Current opinion in colloid & interface science	1359-0294		ELSEVIER SCIENCE LONDON	CURRENT OPINION IN COLLOID & INTERFACE SCIENCE	6.448	8.209	8.9	7.9	7.0	Q1	Q1	Q1	Q1	Q1
INT J IMAGING SYST TECHNOL	International journal of imaging systems and technology	0899-9457		WILEY	INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY	2.0	2.177	3.3	3.0	2.5	Q3	Q3	Q2	Q2	Q2
SUPRAMOL CHEM	Supramolecular chemistry	1061-0278	1029-0478	TAYLOR & FRANCIS LTD	SUPRAMOLECULAR CHEMISTRY	1.688	2.23	3.3	2.1	2.6	Q3	Q3	Q2	Q3	Q2
J HOSP PALLIAT NURS	Journal of hospice and palliative nursing : JHPN : the official journal of the Hospice and Palliative Nurses Association	1522-2179	1539-0705	LIPPINCOTT WILLIAMS & WILKINS	JOURNAL OF HOSPICE & PALLIATIVE NURSING	1.918	2.131	1.8	1.2	1.3	Q3	Q3	Q3	Q3	Q3
J MICROMECH MICROENG	Journal of micromechanics and microengineering : structures, devices, and systems	0960-1317	1361-6439	IOP Publishing Ltd	JOURNAL OF MICROMECHANICS AND MICROENGINEERING	1.881	2.282	2.3	2.4	2.1	Q3	Q3	Q3	Q2	Q3
J RADIOTHER PRACT	Journal of radiotherapy in practice	1460-3969	1467-1131	CAMBRIDGE UNIV PRESS	JOURNAL OF RADIOTHERAPY IN PRACTICE			0.4	0.3	0.5				Q4	Q4
CRYST GROWTH DES	Crystal growth & design	1528-7483	1528-7505	AMER CHEMICAL SOC	CRYSTAL GROWTH & DESIGN	4.076	4.01	3.8	3.2	3.4	Q1	Q1	Q1	Q1	Q1
STEM CELL RES	Stem cell research	1873-5061	1876-7753		STEM CELL RESEARCH	2.02	1.587	1.2	0.8	0.7	Q4	Q4	Q4	Q4	Q4
BRAIN STIMUL	Brain stimulation	1935-861X	1876-4754	ELSEVIER SCIENCE INC	BRAIN STIMULATION	8.955	9.184	7.7	7.6	8.4	Q1	Q1	Q1	Q1	Q1
J CARDIOVASC TRANSL RES	Journal of cardiovascular translational research	1937-5387	1937-5395	SPRINGER	JOURNAL OF CARDIOVASCULAR TRANSLATIONAL RESEARCH	4.132	3.216	3.4	2.4	2.5	Q2	Q3	Q2	Q2	Q2
J INNATE IMMUN	Journal of innate immunity	1662-811X	1662-8128	KARGER	JOURNAL OF INNATE IMMUNITY	7.349	7.111	5.3	4.7	3.0	Q1	Q2	Q2	Q2	Q3
SCI STUD READ	Scientific studies of reading : the official journal of the Society for the Scientific Study of Reading	1088-8438	1532-799X	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	SCIENTIFIC STUDIES OF READING	4.662	4.2	3.7	2.9	2.4	Q1	Q1	Q1	Q1	Q1
NONLINEAR DYN	Nonlinear dynamics	0924-090X		SPRINGER	NONLINEAR DYNAMICS	5.022	5.741	5.6	5.2	6.0	Q1	Q1	Q1	Q1	Q1
COMPOS PART A APPL SCI MANUF	Composites. Part A, Applied science and manufacturing	1359-835X		ELSEVIER SCI LTD	COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING	7.664	9.463	8.7	8.1	8.9	Q1	Q1	Q1	Q1	Q1
J LUMIN	Journal of luminescence	0022-2313		ELSEVIER	JOURNAL OF LUMINESCENCE	3.599	4.171	3.6	3.3	3.6	Q1	Q2	Q2	Q2	Q2
DIAM RELAT MATER	Diamond and related materials	0925-9635		ELSEVIER SCIENCE SA	DIAMOND AND RELATED MATERIALS	3.315	3.806	4.1	4.3	5.1	Q2	Q2	Q2	Q2	Q1
THEOR COMPUT SCI	Theoretical computer science	0304-3975		ELSEVIER	THEORETICAL COMPUTER SCIENCE	0.827	1.002	1.1	0.9	1.0	Q4	Q4	Q4	Q3	Q3
INT J HEAT MASS TRANSF	International journal of heat and mass transfer	0017-9310		PERGAMON-ELSEVIER SCIENCE LTD	INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER	5.584	5.431	5.2	5.0	5.8	Q1	Q1	Q1	Q1	Q1
ADV IN INSECT PHYS	Advances in insect physiology	0065-2806			ADVANCES IN INSECT PHYSIOLOGY	3.364	3.6				Q1	Q1			
J CHEM ENG DATA	Journal of chemical and engineering data	0021-9568		AMER CHEMICAL SOC	JOURNAL OF CHEMICAL AND ENGINEERING DATA	2.694	3.119	2.6	2.0	2.1	Q2	Q2	Q2	Q2	Q2
J NONPARAMETR STAT	Journal of nonparametric statistics	1048-5252		TAYLOR & FRANCIS LTD	JOURNAL OF NONPARAMETRIC STATISTICS	1.231	1.012	1.2	0.8	0.9	Q3	Q4	Q3	Q3	Q3
AM J INTELLECT DEV DISABIL	American journal on intellectual and developmental disabilities	1944-7515	1944-7558	AMER ASSOC INTELLECTUAL and DEVELOPMENTAL DISABILITIES-AAIDD	AJIDD-AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES	2.5	2.297	2.1	1.9	2.0	Q2	Q2	Q2	Q1	Q1
AM J TRANSL RES	American journal of translational research		1943-8141	E-CENTURY PUBLISHING CORP	AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH	4.06	3.94	2.2	1.7	1.6	Q2	Q3	Q4	Q3	Q3
ENVIRON HEALTH PREV MED	Environmental health and preventive medicine	1342-078X	1347-4715	JAPANESE SOC HYGIENE	ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE	3.674	4.395	4.7	4.0	2.5	Q2	Q2	Q2	Q1	Q2
J ORTHOP TRAUMATOL	Journal of orthopaedics and traumatology : official journal of the Italian Society of Orthopaedics and Traumatology	1590-9921	1590-9999	SPRINGER	JOURNAL OF ORTHOPAEDICS AND TRAUMATOLOGY	2.907	4.239	2.8	3.0	3.7	Q2	Q1	Q2	Q1	Q1
HEPATOL INT	Hepatology international	1936-0533	1936-0541	SPRINGER	HEPATOLOGY INTERNATIONAL	6.047	9.046	6.6	5.9	6.1	Q2	Q1	Q1	Q1	Q1
J CHILD ORTHOP	Journal of children's orthopaedics	1863-2521	1863-2548	SAGE PUBLICATIONS INC	JOURNAL OF CHILDRENS ORTHOPAEDICS	1.548	1.917	1.4	1.3	1.6	Q4	Q3	Q4	Q3	Q2
CURR REV MUSCULOSKELET MED	Current reviews in musculoskeletal medicine	1935-973X	1935-9748	SPRINGER	CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE		3.74	4.1	2.9	3.9		Q1	Q1	Q1	Q1
J HEMATOP	Journal of hematopathology	1868-9256	1865-5785	SPRINGER HEIDELBERG	JOURNAL OF HEMATOPATHOLOGY	0.196	0.625	0.6	0.6	0.6	Q4	Q4	Q4	Q4	Q4
GENET TEST MOL BIOMARKERS	Genetic testing and molecular biomarkers	1945-0265	1945-0257	MARY ANN LIEBERT, INC	GENETIC TESTING AND MOLECULAR BIOMARKERS	1.795	1.736	1.4	1.1	1.0	Q4	Q4	Q4	Q4	Q4
J R STAT SOC SERIES B STAT METHODOL	Journal of the Royal Statistical Society. Series B, Statistical methodology	1369-7412	1467-9868	OXFORD UNIV PRESS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	4.488	4.933	5.8	3.1	3.6	Q1	Q1	Q1	Q1	Q1
COMPUT SCI ENG	Computing in science & engineering	1521-9615		IEEE COMPUTER SOC	COMPUTING IN SCIENCE & ENGINEERING	2.08	2.152	2.1	1.8	1.9	Q3	Q3	Q4	Q3	Q3
PER MED	Personalized medicine	1741-0541	1744-828X	TAYLOR & FRANCIS LTD	PERSONALIZED MEDICINE	2.512	2.119	2.3	1.7	1.8	Q3	Q4	Q3	Q3	Q3
J ADDICT MED	Journal of addiction medicine	1932-0620	1935-3227	LIPPINCOTT WILLIAMS & WILKINS	JOURNAL OF ADDICTION MEDICINE	3.702	4.647	5.5	4.2	3.2	Q2	Q2	Q1	Q1	Q1
